medallion, hack_license, vendor_id, rate_code, store_and_fwd_flag, pickup_datetime, dropoff_datetime, passenger_count, trip_time_in_secs, trip_distance, pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude
2013000118,2013000118,VTS,1,,1/1/2013 0:01,1/1/2013 0:04,1,180,0.95,-73.976753,40.750706,-73.990089,40.750729
2013000119,2013000119,VTS,1,,1/1/2013 0:01,1/1/2013 0:13,1,720,1.7,-73.981438,40.768738,-73.956757,40.766842
2013000120,2013000120,VTS,1,,1/1/2013 0:01,1/1/2013 0:02,6,60,0.34,-74.003197,40.708313,-74.005608,40.706551
2013000121,2013000121,VTS,1,,1/1/2013 0:01,1/1/2013 0:13,1,720,0.84,-73.987488,40.752037,-73.99173,40.751408
2013000122,2013000122,VTS,1,,1/1/2013 0:01,1/1/2013 0:14,5,780,3.58,-73.924957,40.706707,-73.958282,40.680809
2013000123,2013000123,VTS,1,,1/1/2013 0:01,1/1/2013 0:07,6,360,1.12,-73.980362,40.730495,-73.987846,40.740902
2013000124,2013000124,VTS,1,,1/1/2013 0:01,1/1/2013 0:06,6,300,1.04,-73.981918,40.771168,-73.969978,40.767078
2013000125,2013000125,VTS,1,,1/1/2013 0:01,1/1/2013 0:11,1,600,3.53,-73.964813,40.764027,-73.967896,40.800365
2013000126,2013000126,VTS,1,,1/1/2013 0:01,1/1/2013 0:13,1,720,2.92,-73.928864,40.704819,-73.954865,40.73019
2013000127,2013000127,VTS,1,,1/1/2013 0:01,1/1/2013 0:12,5,660,3.43,-73.98938,40.735069,-74.016777,40.705143
2013000128,2013000128,VTS,1,,1/1/2013 0:01,1/1/2013 0:04,5,180,0.57,-73.999832,40.721867,-74.000916,40.725727
2013000129,2013000129,VTS,1,,1/1/2013 0:01,1/1/2013 0:09,1,480,0.88,-73.984154,40.748501,-73.978378,40.753822
2013000130,2013000130,VTS,2,,1/1/2013 0:01,1/1/2013 0:25,1,1440,19.15,-73.781883,40.644848,-73.951614,40.784927
2013000131,2013000131,VTS,1,,1/1/2013 0:01,1/1/2013 0:19,3,1080,1.77,-73.985291,40.763474,-73.995369,40.754623
2013000132,2013000132,VTS,1,,1/1/2013 0:01,1/1/2013 0:08,5,420,2.03,-73.976227,40.754387,-73.955605,40.776779
2013000133,2013000133,VTS,1,,1/1/2013 0:01,1/1/2013 0:17,1,960,4.55,-73.999191,40.73251,-73.980873,40.680767
2013000134,2013000134,VTS,1,,1/1/2013 0:01,1/1/2013 0:15,1,840,3.64,-73.982132,40.758446,-73.951759,40.790546
2013000135,2013000135,VTS,1,,1/1/2013 0:01,1/1/2013 0:13,2,720,3.05,-73.981277,40.747272,-73.956917,40.780724
2013000136,2013000136,VTS,1,,1/1/2013 0:01,1/1/2013 0:07,1,360,1.54,-73.977806,40.788998,-73.967438,40.806087
2013000137,2013000137,VTS,1,,1/1/2013 0:01,1/1/2013 0:01,1,0,0.01,0,0,0,0
2013000138,2013000138,VTS,1,,1/1/2013 0:01,1/1/2013 0:13,1,720,3.35,-73.988876,40.692364,-73.988907,40.727001
2013000139,2013000139,VTS,1,,1/1/2013 0:01,1/1/2013 0:46,2,2700,15.64,-73.952904,40.823254,-73.936508,40.657986
2013000140,2013000140,VTS,1,,1/1/2013 0:01,1/1/2013 0:03,3,120,0.61,-73.987373,40.724861,-73.983772,40.730995
2013000141,2013000141,VTS,1,,1/1/2013 0:01,1/1/2013 0:06,5,300,0.95,-73.95768,40.714569,-73.950653,40.72385
2013000142,2013000142,VTS,1,,1/1/2013 0:01,1/1/2013 0:03,2,120,0.71,-73.973145,40.752827,-73.965897,40.760445
2013000143,2013000143,VTS,1,,1/1/2013 0:01,1/1/2013 0:18,3,1020,6.58,-73.866348,40.771442,-73.948524,40.744926
2013000144,2013000144,VTS,1,,1/1/2013 0:01,1/1/2013 0:06,1,300,1.32,-73.959694,40.776882,-73.961655,40.763577
2013000145,2013000145,VTS,1,,1/1/2013 0:01,1/1/2013 0:15,5,840,3.18,-74.003357,40.732582,-73.994896,40.769112
2013000146,2013000146,VTS,1,,1/1/2013 0:01,1/1/2013 0:08,1,420,2.26,-73.989853,40.738632,-73.966682,40.753292
2013000147,2013000147,CMT,1,N,1/1/2013 0:01,1/1/2013 0:20,1,1148,3.3,-73.988937,40.750278,-73.98407,40.777924
2013000148,2013000148,VTS,1,,1/1/2013 0:01,1/1/2013 0:31,6,1800,7.98,-73.957573,40.722225,-73.9823,40.768288
2013000149,2013000149,VTS,1,,1/1/2013 0:01,1/1/2013 0:12,1,660,1.64,-73.987167,40.761108,-74.004517,40.751942
2013000150,2013000150,VTS,1,,1/1/2013 0:01,1/1/2013 0:09,1,480,1.28,-73.982841,40.756817,-73.967934,40.756248
2013000151,2013000151,VTS,1,,1/1/2013 0:01,1/1/2013 0:34,1,1980,0.35,-73.994164,40.751385,-73.994164,40.751385
2013000152,2013000152,VTS,1,,1/1/2013 0:01,1/1/2013 0:10,1,540,0.09,-73.979721,40.752403,-73.975487,40.758053
2013000153,2013000153,VTS,1,,1/1/2013 0:01,1/1/2013 0:05,1,240,0.59,-74.004517,40.721241,-73.997459,40.719055
2013000154,2013000154,VTS,1,,1/1/2013 0:01,1/1/2013 0:10,5,540,1.55,-73.975868,40.754681,-73.989822,40.766327
2013000155,2013000155,VTS,1,,1/1/2013 0:01,1/1/2013 0:07,6,360,1.11,-73.98774,40.719864,-74.000671,40.728592
2013000156,2013000156,VTS,1,,1/1/2013 0:01,1/1/2013 0:04,1,180,0.92,-73.987762,40.732464,-73.980377,40.742603
2013000157,2013000157,VTS,1,,1/1/2013 0:01,1/1/2013 0:21,1,1200,2.63,-73.977486,40.7383,-73.996658,40.762611
2013000158,2013000158,VTS,1,,1/1/2013 0:01,1/1/2013 0:08,1,420,1.95,-73.983185,40.730606,-73.977295,40.75185
2013000159,2013000159,VTS,1,,1/1/2013 0:01,1/1/2013 0:10,1,540,5.17,-73.968193,40.762428,-73.937294,40.813206
2013000160,2013000160,VTS,1,,1/1/2013 0:01,1/1/2013 0:08,4,420,1.66,-73.977051,40.743141,-73.985184,40.723808
2013000161,2013000161,VTS,1,,1/1/2013 0:01,1/1/2013 0:16,1,900,6.85,-74.00708,40.743671,-73.953964,40.811321
2013000162,2013000162,VTS,1,,1/1/2013 0:01,1/1/2013 0:10,1,540,2.1,-73.997627,40.724186,-73.991631,40.747326
2013000163,2013000163,VTS,1,,1/1/2013 0:01,1/1/2013 0:03,4,120,0.48,-74.004173,40.720947,-74.003838,40.726189
2013000164,2013000164,VTS,1,,1/1/2013 0:01,1/1/2013 0:09,2,480,1.48,-73.982651,40.772266,-73.983498,40.783646
2013000165,2013000165,VTS,1,,1/1/2013 0:01,1/1/2013 0:28,4,1620,11.15,-73.975647,40.760738,-74.00399,40.651306
2013000166,2013000166,VTS,1,,1/1/2013 0:01,1/1/2013 0:04,1,180,0.84,-73.942841,40.797031,-73.93454,40.797314
2013000167,2013000167,VTS,1,,1/1/2013 0:01,1/1/2013 0:09,2,480,1.44,-73.991226,40.72765,-73.982788,40.74448
2013000168,2013000168,VTS,1,,1/1/2013 0:01,1/1/2013 0:06,1,300,1.73,-73.977867,40.789104,-73.961296,40.806255
2013000169,2013000169,VTS,1,,1/1/2013 0:01,1/1/2013 0:15,2,840,3.43,-73.973473,40.792583,-73.954903,40.765362
2013000170,2013000170,VTS,1,,1/1/2013 0:01,1/1/2013 0:04,1,180,0.74,-73.971138,40.75898,-73.972206,40.752502
2013000171,2013000171,VTS,1,,1/1/2013 0:01,1/1/2013 0:03,1,120,0.01,-73.982216,40.768768,-73.982132,40.768639
2013000172,2013000172,VTS,1,,1/1/2013 0:01,1/1/2013 0:08,1,420,1.79,-73.978241,40.748531,-73.988274,40.72784
2013000173,2013000173,CMT,1,N,1/1/2013 0:01,1/1/2013 0:15,1,870,7.3,-74.000832,40.718704,-73.963737,40.644447
2013000174,2013000174,CMT,1,N,1/1/2013 0:01,1/1/2013 0:11,2,608,1.2,-73.979095,40.72739,-73.987038,40.739281
2013000175,2013000175,CMT,1,N,1/1/2013 0:01,1/1/2013 0:06,1,347,1.1,-73.975815,40.752026,-73.985382,40.73875
2013000176,2013000176,CMT,1,N,1/1/2013 0:01,1/1/2013 0:22,1,1302,8.2,0,0,0,0
2013000177,2013000177,CMT,1,N,1/1/2013 0:01,1/1/2013 0:20,2,1157,8.4,-73.865562,40.770981,-73.964874,40.807529
2013000178,2013000178,CMT,1,N,1/1/2013 0:01,1/1/2013 0:15,2,839,2.9,-74.00399,40.732857,-73.991096,40.765701
2013000179,2013000179,CMT,1,N,1/1/2013 0:01,1/1/2013 0:13,2,769,3.2,-73.981987,40.769859,-73.945496,40.775249
2013000180,2013000180,CMT,1,N,1/1/2013 0:01,1/1/2013 0:27,1,1564,7.3,-73.993156,40.738327,-73.946411,40.668694
2013000181,2013000181,CMT,1,N,1/1/2013 0:01,1/1/2013 0:08,1,456,1.5,-73.940643,40.711807,-73.933762,40.715382
2013000182,2013000182,CMT,1,N,1/1/2013 0:01,1/1/2013 0:04,4,234,0.7,-73.978111,40.788967,-73.97641,40.780838
2013000183,2013000183,CMT,1,N,1/1/2013 0:01,1/1/2013 0:16,1,939,3.4,-73.953537,40.775414,-73.996902,40.76289
2013000184,2013000184,CMT,1,N,1/1/2013 0:01,1/1/2013 0:06,1,342,0.7,-74.008858,40.740452,-73.997772,40.737713
2013000185,2013000185,CMT,1,N,1/1/2013 0:01,1/1/2013 0:24,1,1380,7,-73.930031,40.767395,-73.988312,40.720299
2013000186,2013000186,CMT,1,N,1/1/2013 0:01,1/1/2013 0:07,1,352,1.1,-73.977684,40.786991,-73.980812,40.771576
2013000187,2013000187,CMT,1,N,1/1/2013 0:01,1/1/2013 0:07,1,409,1.2,-73.991478,40.738956,-73.978371,40.74559
2013000188,2013000188,CMT,1,N,1/1/2013 0:01,1/1/2013 0:06,1,301,0.9,-73.977341,40.751785,-73.987991,40.743916
2013000189,2013000189,CMT,1,N,1/1/2013 0:01,1/1/2013 0:20,1,1161,4.4,-73.94812,40.789791,-73.897789,40.824497
2013000190,2013000190,CMT,1,N,1/1/2013 0:01,1/1/2013 0:07,1,381,1.1,-73.992241,40.725605,-73.983887,40.73777
2013000191,2013000191,CMT,1,N,1/1/2013 0:01,1/1/2013 0:16,4,925,3.5,-74.006569,40.739708,-74.012253,40.704155
2013000192,2013000192,CMT,1,N,1/1/2013 0:01,1/1/2013 0:09,2,483,2.2,-73.990753,40.729794,-73.970345,40.756294
2013000193,2013000193,CMT,1,N,1/1/2013 0:01,1/1/2013 0:24,2,1362,7,-73.980988,40.688896,-73.985779,40.76894
2013000194,2013000194,CMT,1,N,1/1/2013 0:01,1/1/2013 0:07,2,391,1.3,-73.997574,40.760525,-74.006332,40.744595
2013000195,2013000195,CMT,1,N,1/1/2013 0:01,1/1/2013 0:06,1,318,0.8,-73.992867,40.74535,-73.980614,40.742428
2013000196,2013000196,CMT,1,N,1/1/2013 0:01,1/1/2013 0:04,1,193,0.6,-73.965012,40.755863,-73.973694,40.755215
2013000197,2013000197,CMT,1,N,1/1/2013 0:01,1/1/2013 0:08,3,400,2.6,-73.965981,40.762299,-73.945282,40.79372
2013000198,2013000198,CMT,1,N,1/1/2013 0:01,1/1/2013 0:18,1,1029,8.6,-74.012581,40.70166,-73.932449,40.744534
