eventdate,deviceid,driverid,class
2015-01-22T00:00:00,testdevice,4,7
2015-01-22T00:00:00,testdevice,5,1
2015-01-22T00:00:00,testdevice,6,9
2015-01-22T00:00:00,testdevice,7,1
2015-01-22T00:00:00,testdevice,8,1
2015-01-22T00:00:00,testdevice,9,9
2015-01-22T00:00:00,testdevice,10,1
2015-01-23T00:00:00,testdevice,1,7
2015-01-23T00:00:00,testdevice,2,2
2015-01-23T00:00:00,testdevice,3,3
2015-01-23T00:00:00,testdevice,4,7
2015-01-23T00:00:00,testdevice,5,1
2015-01-23T00:00:00,testdevice,6,9
2015-01-23T00:00:00,testdevice,7,1
2015-01-23T00:00:00,testdevice,8,1
2015-01-23T00:00:00,testdevice,9,9
2015-01-23T00:00:00,testdevice,10,1
2015-01-24T00:00:00,testdevice,1,7
2015-01-24T00:00:00,testdevice,2,2
2015-01-24T00:00:00,testdevice,3,3
2015-01-24T00:00:00,testdevice,4,7
2015-01-24T00:00:00,testdevice,5,1
2015-01-24T00:00:00,testdevice,6,9
2015-01-24T00:00:00,testdevice,7,1
2015-01-24T00:00:00,testdevice,8,1
2015-01-24T00:00:00,testdevice,9,9
2015-01-24T00:00:00,testdevice,10,1
2015-01-25T00:00:00,testdevice,1,7
2015-01-25T00:00:00,testdevice,2,2
2015-01-25T00:00:00,testdevice,3,3
2015-01-25T00:00:00,testdevice,4,7
2015-01-25T00:00:00,testdevice,5,1
2015-01-25T00:00:00,testdevice,6,9
2015-01-25T00:00:00,testdevice,7,1
2015-01-25T00:00:00,testdevice,8,1
2015-01-25T00:00:00,testdevice,9,9
2015-01-25T00:00:00,testdevice,10,1
2015-01-26T00:00:00,testdevice,1,7
2015-01-26T00:00:00,testdevice,2,2
2015-01-26T00:00:00,testdevice,3,3
2015-01-26T00:00:00,testdevice,4,7
2015-01-26T00:00:00,testdevice,5,1
2015-01-26T00:00:00,testdevice,6,9
2015-01-26T00:00:00,testdevice,7,1
2015-01-26T00:00:00,testdevice,8,1
2015-01-26T00:00:00,testdevice,9,9
2015-01-26T00:00:00,testdevice,10,1
2015-01-27T00:00:00,testdevice,1,7
2015-01-27T00:00:00,testdevice,2,2
2015-01-27T00:00:00,testdevice,3,3
2015-01-27T00:00:00,testdevice,4,7
2015-01-27T00:00:00,testdevice,5,1
2015-01-27T00:00:00,testdevice,6,9
2015-01-27T00:00:00,testdevice,7,1
2015-01-27T00:00:00,testdevice,8,1
2015-01-27T00:00:00,testdevice,9,9
2015-01-27T00:00:00,testdevice,10,1
2015-01-28T00:00:00,testdevice,1,7
2015-01-28T00:00:00,testdevice,2,2
2015-01-28T00:00:00,testdevice,3,3
2015-01-28T00:00:00,testdevice,4,7
2015-01-28T00:00:00,testdevice,5,1
2015-01-28T00:00:00,testdevice,6,9
2015-01-28T00:00:00,testdevice,7,1
2015-01-28T00:00:00,testdevice,8,1
2015-01-28T00:00:00,testdevice,9,9
2015-01-28T00:00:00,testdevice,10,1
2015-01-29T00:00:00,testdevice,1,7
2015-01-29T00:00:00,testdevice,2,2
2015-01-29T00:00:00,testdevice,3,3
2015-01-29T00:00:00,testdevice,4,7
2015-01-29T00:00:00,testdevice,5,1
2015-01-29T00:00:00,testdevice,6,9
2015-01-29T00:00:00,testdevice,7,1
2015-01-29T00:00:00,testdevice,8,1
2015-01-29T00:00:00,testdevice,9,9
2015-01-29T00:00:00,testdevice,10,1
2015-01-30T00:00:00,testdevice,1,7
2015-01-30T00:00:00,testdevice,2,2
2015-01-30T00:00:00,testdevice,3,3
2015-01-30T00:00:00,testdevice,4,7
2015-01-30T00:00:00,testdevice,5,1
2015-01-30T00:00:00,testdevice,6,9
2015-01-30T00:00:00,testdevice,7,1
2015-01-30T00:00:00,testdevice,8,1
2015-01-30T00:00:00,testdevice,9,9
2015-01-30T00:00:00,testdevice,10,1
2015-01-31T00:00:00,testdevice,1,7
2015-01-31T00:00:00,testdevice,2,2
2015-01-31T00:00:00,testdevice,3,3
2015-01-31T00:00:00,testdevice,4,7
2015-01-31T00:00:00,testdevice,5,1
2015-01-31T00:00:00,testdevice,6,9
2015-01-31T00:00:00,testdevice,7,1
2015-01-31T00:00:00,testdevice,8,1
2015-01-31T00:00:00,testdevice,9,9
2015-01-31T00:00:00,testdevice,10,1
2015-02-01T00:00:00,testdevice,1,7
2015-02-01T00:00:00,testdevice,2,2
2015-02-01T00:00:00,testdevice,3,3
2015-02-01T00:00:00,testdevice,4,7
2015-02-01T00:00:00,testdevice,5,1
2015-02-01T00:00:00,testdevice,6,9
2015-02-01T00:00:00,testdevice,7,1
2015-02-01T00:00:00,testdevice,8,1
2015-02-01T00:00:00,testdevice,9,9
2015-02-01T00:00:00,testdevice,10,1
2015-02-02T00:00:00,testdevice,1,7
2015-02-02T00:00:00,testdevice,2,2
2015-02-02T00:00:00,testdevice,3,3
2015-02-02T00:00:00,testdevice,4,7
2015-02-02T00:00:00,testdevice,5,1
2015-02-02T00:00:00,testdevice,6,9
2015-02-02T00:00:00,testdevice,7,1
2015-02-02T00:00:00,testdevice,8,1
2015-02-02T00:00:00,testdevice,9,9
2015-02-02T00:00:00,testdevice,10,1
2015-02-03T00:00:00,testdevice,1,7
2015-02-03T00:00:00,testdevice,2,2
2015-02-03T00:00:00,testdevice,3,3
2015-02-03T00:00:00,testdevice,4,7
2015-02-03T00:00:00,testdevice,5,1
2015-02-03T00:00:00,testdevice,6,9
2015-02-03T00:00:00,testdevice,7,1
2015-02-03T00:00:00,testdevice,8,1
2015-02-03T00:00:00,testdevice,9,9
2015-02-03T00:00:00,testdevice,10,1
2015-02-04T00:00:00,testdevice,1,7
2015-02-04T00:00:00,testdevice,2,2
2015-02-04T00:00:00,testdevice,3,3
2015-02-04T00:00:00,testdevice,4,7
2015-02-04T00:00:00,testdevice,5,1
2015-02-04T00:00:00,testdevice,6,9
2015-02-04T00:00:00,testdevice,7,1
2015-02-04T00:00:00,testdevice,8,1
2015-02-04T00:00:00,testdevice,9,9
2015-02-04T00:00:00,testdevice,10,1
2015-02-05T00:00:00,testdevice,1,7
2015-02-05T00:00:00,testdevice,2,2
2015-02-05T00:00:00,testdevice,3,3
2015-02-05T00:00:00,testdevice,4,7
2015-02-05T00:00:00,testdevice,5,1
2015-02-05T00:00:00,testdevice,6,9
2015-02-05T00:00:00,testdevice,7,1
2015-02-05T00:00:00,testdevice,8,1
2015-02-05T00:00:00,testdevice,9,9
2015-02-05T00:00:00,testdevice,10,1
2015-02-06T00:00:00,testdevice,1,7
2015-02-06T00:00:00,testdevice,2,2
2015-02-06T00:00:00,testdevice,3,3
2015-02-06T00:00:00,testdevice,4,7
2015-02-06T00:00:00,testdevice,5,1
2015-02-06T00:00:00,testdevice,6,9
2015-02-06T00:00:00,testdevice,7,1
2015-02-06T00:00:00,testdevice,8,1
2015-02-06T00:00:00,testdevice,9,9
2015-02-06T00:00:00,testdevice,10,1
2015-02-07T00:00:00,testdevice,1,7
2015-02-07T00:00:00,testdevice,2,2
2015-02-07T00:00:00,testdevice,3,3
2015-02-07T00:00:00,testdevice,4,7
2015-02-07T00:00:00,testdevice,5,1
2015-02-07T00:00:00,testdevice,6,9
2015-02-07T00:00:00,testdevice,7,1
2015-02-07T00:00:00,testdevice,8,1
2015-02-07T00:00:00,testdevice,9,9
2015-02-07T00:00:00,testdevice,10,1
2015-02-08T00:00:00,testdevice,1,7
2015-02-08T00:00:00,testdevice,2,2
2015-02-08T00:00:00,testdevice,3,3
2015-02-08T00:00:00,testdevice,4,7
2015-02-08T00:00:00,testdevice,5,1
2015-02-08T00:00:00,testdevice,6,9
2015-02-08T00:00:00,testdevice,7,1
2015-02-08T00:00:00,testdevice,8,1
2015-02-08T00:00:00,testdevice,9,9
2015-02-08T00:00:00,testdevice,10,1
2015-02-09T00:00:00,testdevice,1,7
2015-02-09T00:00:00,testdevice,2,2
2015-02-09T00:00:00,testdevice,3,3
2015-02-09T00:00:00,testdevice,4,7
2015-02-09T00:00:00,testdevice,5,1
2015-02-09T00:00:00,testdevice,6,9
2015-02-09T00:00:00,testdevice,7,1
2015-02-09T00:00:00,testdevice,8,1
2015-02-09T00:00:00,testdevice,9,9
2015-02-09T00:00:00,testdevice,10,1
2015-02-10T00:00:00,testdevice,1,7
2015-02-10T00:00:00,testdevice,2,2
2015-02-10T00:00:00,testdevice,3,3
2015-02-10T00:00:00,testdevice,4,7
2015-02-10T00:00:00,testdevice,5,1
2015-02-10T00:00:00,testdevice,6,9
2015-02-10T00:00:00,testdevice,7,1
2015-02-10T00:00:00,testdevice,8,1
2015-02-10T00:00:00,testdevice,9,9
2015-02-10T00:00:00,testdevice,10,1
2015-02-11T00:00:00,testdevice,1,7
2015-02-11T00:00:00,testdevice,2,2
2015-02-11T00:00:00,testdevice,3,3
2015-02-11T00:00:00,testdevice,4,7
2015-02-11T00:00:00,testdevice,5,1
2015-02-11T00:00:00,testdevice,6,9
2015-02-11T00:00:00,testdevice,7,1
2015-02-11T00:00:00,testdevice,8,1
2015-02-11T00:00:00,testdevice,9,9
2015-02-11T00:00:00,testdevice,10,1
2015-02-12T00:00:00,testdevice,1,7
2015-02-12T00:00:00,testdevice,2,2
2015-02-12T00:00:00,testdevice,3,3
2015-02-12T00:00:00,testdevice,4,7
2015-02-12T00:00:00,testdevice,5,1
2015-02-12T00:00:00,testdevice,6,9
2015-02-12T00:00:00,testdevice,7,1
2015-02-12T00:00:00,testdevice,8,1
2015-02-12T00:00:00,testdevice,9,9
2015-02-12T00:00:00,testdevice,10,1
2015-02-13T00:00:00,testdevice,1,7
2015-02-13T00:00:00,testdevice,2,2
2015-02-13T00:00:00,testdevice,3,3
2015-02-13T00:00:00,testdevice,4,7
2015-02-13T00:00:00,testdevice,5,1
2015-02-13T00:00:00,testdevice,6,9
2015-02-13T00:00:00,testdevice,7,1
2015-02-13T00:00:00,testdevice,8,1
2015-02-13T00:00:00,testdevice,9,9
2015-02-13T00:00:00,testdevice,10,1
2015-02-14T00:00:00,testdevice,1,7
2015-02-14T00:00:00,testdevice,2,2
2015-02-14T00:00:00,testdevice,3,3
2015-02-14T00:00:00,testdevice,4,7
2015-02-14T00:00:00,testdevice,5,1
2015-02-14T00:00:00,testdevice,6,9
2015-02-14T00:00:00,testdevice,7,1
2015-02-14T00:00:00,testdevice,8,1
2015-02-14T00:00:00,testdevice,9,9
2015-02-14T00:00:00,testdevice,10,1
2015-02-15T00:00:00,testdevice,1,7
2015-02-15T00:00:00,testdevice,2,2
2015-02-15T00:00:00,testdevice,3,3
2015-02-15T00:00:00,testdevice,4,7
2015-02-15T00:00:00,testdevice,5,1
2015-02-15T00:00:00,testdevice,6,9
2015-02-15T00:00:00,testdevice,7,1
2015-02-15T00:00:00,testdevice,8,1
2015-02-15T00:00:00,testdevice,9,9
2015-02-15T00:00:00,testdevice,10,1
2015-02-16T00:00:00,testdevice,1,7
2015-02-16T00:00:00,testdevice,2,2
2015-02-16T00:00:00,testdevice,3,3
2015-02-16T00:00:00,testdevice,4,7
2015-02-16T00:00:00,testdevice,5,1
2015-02-16T00:00:00,testdevice,6,9
2015-02-16T00:00:00,testdevice,7,1
2015-02-16T00:00:00,testdevice,8,1
2015-02-16T00:00:00,testdevice,9,9
2015-02-16T00:00:00,testdevice,10,1
2015-02-17T00:00:00,testdevice,1,7
2015-02-17T00:00:00,testdevice,2,2
2015-02-17T00:00:00,testdevice,3,3
2015-02-17T00:00:00,testdevice,4,7
2015-02-17T00:00:00,testdevice,5,1
2015-02-17T00:00:00,testdevice,6,9
2015-02-17T00:00:00,testdevice,7,1
2015-02-17T00:00:00,testdevice,8,1
2015-02-17T00:00:00,testdevice,9,9
2015-02-17T00:00:00,testdevice,10,1
2015-02-18T00:00:00,testdevice,1,7
2015-02-18T00:00:00,testdevice,2,2
2015-02-18T00:00:00,testdevice,3,3
2015-02-18T00:00:00,testdevice,4,7
2015-02-18T00:00:00,testdevice,5,1
2015-02-18T00:00:00,testdevice,6,9
2015-02-18T00:00:00,testdevice,7,1
2015-02-18T00:00:00,testdevice,8,1
2015-02-18T00:00:00,testdevice,9,9
2015-02-18T00:00:00,testdevice,10,1
2015-02-19T00:00:00,testdevice,1,7
2015-02-19T00:00:00,testdevice,2,2
2015-02-19T00:00:00,testdevice,3,3
2015-02-19T00:00:00,testdevice,4,7
2015-02-19T00:00:00,testdevice,5,1
2015-02-19T00:00:00,testdevice,6,9
2015-02-19T00:00:00,testdevice,7,1
2015-02-19T00:00:00,testdevice,8,1
2015-02-19T00:00:00,testdevice,9,9
2015-02-19T00:00:00,testdevice,10,1
2015-02-20T00:00:00,testdevice,1,7
2015-02-20T00:00:00,testdevice,2,2
2015-02-20T00:00:00,testdevice,3,3
2015-02-20T00:00:00,testdevice,4,7
2015-02-20T00:00:00,testdevice,5,1
2015-02-20T00:00:00,testdevice,6,9
2015-02-20T00:00:00,testdevice,7,1
2015-02-20T00:00:00,testdevice,8,1
2015-02-20T00:00:00,testdevice,9,9
2015-02-20T00:00:00,testdevice,10,1
2015-02-21T00:00:00,testdevice,1,7
2015-02-21T00:00:00,testdevice,2,2
2015-02-21T00:00:00,testdevice,3,3
2015-02-21T00:00:00,testdevice,4,7
2015-02-21T00:00:00,testdevice,5,1
2015-02-21T00:00:00,testdevice,6,9
2015-02-21T00:00:00,testdevice,7,1
2015-02-21T00:00:00,testdevice,8,1
2015-02-21T00:00:00,testdevice,9,9
2015-02-21T00:00:00,testdevice,10,1
2015-02-22T00:00:00,testdevice,1,7
2015-02-22T00:00:00,testdevice,2,2
2015-02-22T00:00:00,testdevice,3,3
2015-02-22T00:00:00,testdevice,4,7
2015-02-22T00:00:00,testdevice,5,1
2015-02-22T00:00:00,testdevice,6,9
2015-02-22T00:00:00,testdevice,7,1
2015-02-22T00:00:00,testdevice,8,1
2015-02-22T00:00:00,testdevice,9,9
2015-02-22T00:00:00,testdevice,10,1
2015-02-23T00:00:00,testdevice,1,7
2015-02-23T00:00:00,testdevice,2,2
2015-02-23T00:00:00,testdevice,3,3
2015-02-23T00:00:00,testdevice,4,7
2015-02-23T00:00:00,testdevice,5,1
2015-02-23T00:00:00,testdevice,6,9
2015-02-23T00:00:00,testdevice,7,1
2015-02-23T00:00:00,testdevice,8,1
2015-02-23T00:00:00,testdevice,9,9
2015-02-23T00:00:00,testdevice,10,1
2015-02-24T00:00:00,testdevice,1,7
2015-02-24T00:00:00,testdevice,2,2
2015-02-24T00:00:00,testdevice,3,3
2015-02-24T00:00:00,testdevice,4,7
2015-02-24T00:00:00,testdevice,5,1
2015-02-24T00:00:00,testdevice,6,9
2015-02-24T00:00:00,testdevice,7,1
2015-02-24T00:00:00,testdevice,8,1
2015-02-24T00:00:00,testdevice,9,9
2015-02-24T00:00:00,testdevice,10,1
2015-02-25T00:00:00,testdevice,1,7
2015-02-25T00:00:00,testdevice,2,2
2015-02-25T00:00:00,testdevice,3,3
2015-02-25T00:00:00,testdevice,4,7
2015-02-25T00:00:00,testdevice,5,1
2015-02-25T00:00:00,testdevice,6,9
2015-02-25T00:00:00,testdevice,7,1
2015-02-25T00:00:00,testdevice,8,1
2015-02-25T00:00:00,testdevice,9,9
2015-02-25T00:00:00,testdevice,10,1
2015-02-26T00:00:00,testdevice,1,7
2015-02-26T00:00:00,testdevice,2,2
2015-02-26T00:00:00,testdevice,3,3
2015-02-26T00:00:00,testdevice,4,7
2015-02-26T00:00:00,testdevice,5,1
2015-02-26T00:00:00,testdevice,6,9
2015-02-26T00:00:00,testdevice,7,1
2015-02-26T00:00:00,testdevice,8,1
2015-02-26T00:00:00,testdevice,9,9
2015-02-26T00:00:00,testdevice,10,1
2015-02-27T00:00:00,testdevice,1,7
2015-02-27T00:00:00,testdevice,2,2
2015-02-27T00:00:00,testdevice,3,3
2015-02-27T00:00:00,testdevice,4,7
2015-02-27T00:00:00,testdevice,5,1
2015-02-27T00:00:00,testdevice,6,9
2015-02-27T00:00:00,testdevice,7,1
2015-02-27T00:00:00,testdevice,8,1
2015-02-27T00:00:00,testdevice,9,9
2015-02-27T00:00:00,testdevice,10,1
2015-02-28T00:00:00,testdevice,1,7
2015-02-28T00:00:00,testdevice,2,2
2015-02-28T00:00:00,testdevice,3,3
2015-02-28T00:00:00,testdevice,4,7
2015-02-28T00:00:00,testdevice,5,1
2015-02-28T00:00:00,testdevice,6,9
2015-02-28T00:00:00,testdevice,7,1
2015-02-28T00:00:00,testdevice,8,1
2015-02-28T00:00:00,testdevice,9,9
2015-02-28T00:00:00,testdevice,10,1
2015-02-29T00:00:00,testdevice,1,7
2015-02-29T00:00:00,testdevice,2,2
2015-02-29T00:00:00,testdevice,3,3
2015-02-29T00:00:00,testdevice,4,7
2015-02-29T00:00:00,testdevice,5,1
2015-02-29T00:00:00,testdevice,6,9
2015-02-29T00:00:00,testdevice,7,1
2015-02-29T00:00:00,testdevice,8,1
2015-02-29T00:00:00,testdevice,9,9
2015-02-29T00:00:00,testdevice,10,1
2015-02-30T00:00:00,testdevice,1,7
2015-02-30T00:00:00,testdevice,2,2
2015-02-30T00:00:00,testdevice,3,3
2015-02-30T00:00:00,testdevice,4,7
2015-02-30T00:00:00,testdevice,5,1
2015-02-30T00:00:00,testdevice,6,9
2015-02-30T00:00:00,testdevice,7,1
2015-02-30T00:00:00,testdevice,8,1
2015-02-30T00:00:00,testdevice,9,9
2015-02-30T00:00:00,testdevice,10,1
2015-02-31T00:00:00,testdevice,1,7
2015-02-31T00:00:00,testdevice,2,2
2015-02-31T00:00:00,testdevice,3,3
2015-02-31T00:00:00,testdevice,4,7
2015-02-31T00:00:00,testdevice,5,1
2015-02-31T00:00:00,testdevice,6,9
2015-02-31T00:00:00,testdevice,7,1
2015-02-31T00:00:00,testdevice,8,1
2015-02-31T00:00:00,testdevice,9,9
2015-02-31T00:00:00,testdevice,10,1
2015-03-01T00:00:00,testdevice,1,7
2015-03-01T00:00:00,testdevice,2,2
2015-03-01T00:00:00,testdevice,3,3
2015-03-01T00:00:00,testdevice,4,7
2015-03-01T00:00:00,testdevice,5,1
2015-03-01T00:00:00,testdevice,6,9
2015-03-01T00:00:00,testdevice,7,1
2015-03-01T00:00:00,testdevice,8,1
2015-03-01T00:00:00,testdevice,9,9
2015-03-01T00:00:00,testdevice,10,1
2015-03-02T00:00:00,testdevice,1,7
2015-03-02T00:00:00,testdevice,2,2
2015-03-02T00:00:00,testdevice,3,3
2015-03-02T00:00:00,testdevice,4,7
